Week,30 yr FRM,Year
1/24/1975,9.35,1975
1/31/1975,9.29,1975
2/7/1975,9.20,1975
2/14/1975,9.13,1975
2/21/1975,9.07,1975
2/28/1975,9.02,1975
3/7/1975,9.00,1975
3/14/1975,8.89,1975
3/21/1975,8.86,1975
3/28/1975,8.86,1975
4/4/1975,8.83,1975
4/11/1975,8.81,1975
4/18/1975,8.80,1975
4/25/1975,8.84,1975
5/2/1975,8.92,1975
5/9/1975,8.88,1975
5/16/1975,8.92,1975
5/23/1975,8.92,1975
5/30/1975,8.89,1975
6/6/1975,8.89,1975
6/13/1975,8.90,1975
6/20/1975,8.88,1975
6/27/1975,8.90,1975
7/3/1975,8.88,1975
7/11/1975,8.90,1975
7/18/1975,8.89,1975
7/25/1975,8.89,1975
8/1/1975,8.89,1975
8/8/1975,8.89,1975
8/15/1975,8.93,1975
8/22/1975,8.98,1975
8/29/1975,9.02,1975
9/5/1975,9.08,1975
9/12/1975,9.16,1975
9/19/1975,9.14,1975
9/26/1975,9.14,1975
10/3/1975,9.20,1975
10/10/1975,9.21,1975
10/17/1975,9.21,1975
10/24/1975,9.26,1975
10/31/1975,9.24,1975
11/7/1975,9.19,1975
11/14/1975,9.16,1975
11/21/1975,9.12,1975
11/28/1975,9.11,1975
12/5/1975,9.11,1975
12/12/1975,9.11,1975
12/19/1975,9.08,1975
12/26/1975,9.09,1975
1/2/1976,9.10,1976
1/9/1976,9.07,1976
1/16/1976,9.01,1976
1/23/1976,9.00,1976
1/30/1976,8.90,1976
2/6/1976,8.86,1976
2/13/1976,8.83,1976
2/20/1976,8.81,1976
2/27/1976,8.75,1976
3/5/1976,8.77,1976
3/12/1976,8.75,1976
3/19/1976,8.75,1976
3/26/1976,8.75,1976
4/2/1976,8.70,1976
4/9/1976,8.70,1976
4/16/1976,8.75,1976
4/23/1976,8.75,1976
4/30/1976,8.75,1976
5/7/1976,8.75,1976
5/14/1976,8.75,1976
5/21/1976,8.78,1976
5/28/1976,8.78,1976
6/4/1976,8.78,1976
